Name,Constituency,Party,Cases,Education,Assets,Liabilities
Ajmal Ismail,ATTINGAL,SDPI,3,Graduate Professional,"15,08,680","2,00,000"
Ajoy Kumar Sarkar,KARIMGANJ,AIFB,0,12th Pass,"2,88,098",0
Akeel,MORADABAD,IND,0,Literate,"24,40,000",0
Akhil Chirravuri,SECUNDERABAD,IND,0,Post Graduate,"2,14,000",0
Akhilesh,ALAPPUZHA,Ambedkarite Party of India,0,12th Pass,"1,06,000",0
Akhtar,AMROHA,IND,0,Literate,"33,00,000","1,50,000"
Akhtarul Iman,KISHANGANJ,All India Majlis-E-Ittehadul Muslimeen,4,Post Graduate,"72,62,890","19,08,918"
Akik Hossain Chowdhury,RAIGANJ,Kamatapur Peoples Party (United),0,Graduate,"10,65,000",0
Akshay Yadav,FIROZABAD,SP,0,Graduate Professional,"32,11,57,801","5,03,58,593"
Akshaya Kumar Kar,CUTTACK,Krupaa Party,0,Graduate,"3,50,77,797",0
Akula Hanmandlu,NIZAMABAD,IND,0,Literate,0,0
Akula Paul,NALGONDA,Pyramid Party of India,0,10th Pass,"40,140",0
Akula Satyanarayana,RAJAHMUNDRY,Janasena Party,0,Post Graduate,"67,39,24,565","46,19,54,372"
Al Monowara Begam,MALDAHA UTTAR,IND,0,Illiterate,"61,000",0
Alaga Ravi Kumar,ELURU,IND,0,10th Pass,0,0
Alagaapuram R. Mohanraj,CHENNAI NORTH,DMDK,6,12th Pass,"4,57,42,218","28,31,960"
Alagar M,MADURAI,Makkal Needhi Maiam,0,Graduate Professional,"62,97,227","46,76,374"
Alagar P,MADURAI,Desiya Makkal Sakthi Katchi,0,5th Pass,"26,656",0
"Alagarsamy, R.",VIRUDHUNAGAR,DMDK,3,10th Pass,"1,26,71,316","3,38,783"
Alagudu Lingaraju,MYSORE,IND,0,Graduate Professional,"11,46,000",0
Alakesh Roy,DHUBRI,Hindusthan Nirman Dal,0,Graduate,"25,40,000",0
Alakunta Rajanna,NIZAMABAD,IND,0,Illiterate,"1,000",0
Alamgir Mohammad Khan,PARBHANI,Vanchit Bahujan Aaghadi,1,Graduate,"1,94,10,000",0
Alanguru Kanakalakshmi,CHIKKBALLAPUR,IND,0,10th Pass,"39,20,000",0
Alankruta Abhijeet Awade-Bichukale,BARAMATI,IND,0,Post Graduate,"4,42,102",0
Aleti Malla Reddy,NIZAMABAD,IND,1,Illiterate,"1,03,83,500","2,30,000"
Aleti Rajareddy,NIZAMABAD,IND,0,10th Pass,"12,73,000","1,00,000"
Aleti Sanjeev Reddy,NIZAMABAD,IND,0,10th Pass,"45,49,481","10,20,000"
Alexander,DAKSHINA KANNADA,IND,1,Graduate,"3,05,10,500","8,50,000"
Alexpandian S,THENI,IND,0,Graduate Professional,"39,76,788",0
Ali Akbar K.,LAKSHADWEEP,CPI,0,10th Pass,"5,000",0
Ali Ashfaque Ahmed,NAGPUR,Bahujan Mukti Party,0,Graduate Professional,"14,75,000","9,00,000"
Alige Jeevan,ZAHIRABAD,Bahujan Mukti Party,0,Graduate,"51,000",0
Alimamad Palani,JAMNAGAR,IND,0,5th Pass,"1,80,000","38,000"
Alimuddin Ahmed,GAUHATI,IND,0,Post Graduate,"73,73,200","29,14,356"
